Rank,Name,Developer,Category,Size,Star Rating,Reviews,Downloads,Rated for
207,Tennis 24 - tennis live scores,Tennis 24,Sports,14 MB,4.4,2T,5L+,3+
208,OneCricket - Pin Live Cricket Score,cricket.one,Sports,11 MB,4.4,3T,10L+,3+
209,Bike Rider 3D - Motorcycle Racing Stunt Games 2021,Aril Labs LLC,Sports,55 MB,4.2,878,1L+,16+
210,Helicopter sniper shooting games - fps air strike,Game Hippo Studio,Sports,46 MB,3.5,489,5L+,16+
211,Dream Expert 11™ - Dream 11 Team Prediction & Tips,Dream Expert Tech,Sports,12 MB,4.1,93,10T+,3+
212,Angry Dinosaur Attack Dinosaur Rampage Games,SuperGamez Hub,Sports,95 MB,3.9,769,5L+,12+
213,4RaBet,Professional Betting Company,Sports,3.4 MB,5,108,1T+,3+
214,Today's Match Prediction Tips,Cricket Club,Sports,5.4 MB,4.9,57,1T+,3+
215,Cars mods. Race through the world of Minecraft!,Ylans Studios,Sports,7.0 MB,4,225,1L+,3+
216,SPORTS GHD - T20 World Cup Live TV Prediction,TriangularApps,Sports,10 MB,2.8,39,10T+,3+
217,Border Patrol Police Duty Game,HV Softworks,Sports,38 MB,4.1,1T,1L+,12+
218,IPL 2022 Schedule Mega Auction,Only Learns Studio,Sports,4.9 MB,4.8,50,10T+,3+
219,CRICKET TIPS & PREDICTION,Technique0406,Sports,6.5 MB,,,500+,3+
220,4K Football Wallpapers | wallpaper hd,TOTALS Marketing & Business Solution,Sports,6.4 MB,4,5T,10L+,16+
221,US Army Commando Prison Escape – Grand Operation,Lobster Game Studios,Sports,60 MB,3.7,3T,10L+,12+
222,Real Manual Truck 3D Simulator,TapKit,Sports,53 MB,4.1,1T,1L+,3+
223,Free Paisa,Free Money App,Sports,4.6 MB,3.9,628,1L+,3+
224,FitRist Active,Intex Technologies ( I ) Ltd,Sports,8.1 MB,3.6,43,5T+,3+
225,All Football - Scores & News,Footballdog Inc.,Sports,18 MB,4.2,75T,1Cr+,3+
226,Khai Lagai Calculator,PowerPlay Technologies,Sports,5.2 MB,4.4,1T,1L+,3+
227,Team Master | Team Creator | Team Maker | Win Gift,Techitudes,Sports,10 MB,3.4,158,10T+,3+
228,4RABet Sports Latest Events,CA$HApp,Sports,3.2 MB,5,780,50T+,12+
229,CricketNext – Live Score & News,Network18,Sports,18 MB,4.1,7T,10L+,3+
230,IPL 2022 Schedule And Live Score Update,TRQ Ltd.,Sports,7.3 MB,3.7,53,10T+,3+
231,PESDATA 22 - eFootballDB,YUCHAO ZHU,Sports,16 MB,4.4,1T,1L+,3+
232,"Fishing Points: Maps, Tides & Fishing Forecast",Fishing Points d.o.o.,Sports,22 MB,4.3,83T,10L+,3+
233,FotMob - football live scores,FotMob AS,Sports,18 MB,4.7,5L,1Cr+,3+
234,Cricket Scorecard,Dileep Kumar 526,Sports,4.4 MB,4.1,370,50T+,3+
235,Hash Cricket Live Line,Scorpion Solutions,Sports,7.2 MB,,,1T+,3+
236,Diamond Line Guru - Live Line,Diamond Line Guru,Sports,15 MB,4.2,594,1L+,3+
237,LetzGO - Esports Games Tournament Platform,LetzGO Developer,Sports,4.4 MB,4.3,1T,50T+,3+
238,Australian Open Tennis 2022,Tennis Australia,Sports,26 MB,4.8,7T,1L+,3+
239,PSL Cricket Prediction,The Sport Fort,Sports,5.2 MB,,,100+,3+
240,SailFreeGPS,FredB,Sports,7.4 MB,4.4,3T,1L+,3+
241,Fantips: Fantasy Prediction & Expert Tips for IPL,xR Studio LLP,Sports,24 MB,4.2,4T,1L+,3+
242,Cricket: Live Line & Fastest Live Score,NewGame & App Devlopers,Sports,35 MB,4.5,4T,10L+,3+
243,Crik Team 11 - vision 11 & Prediction,Darshit koladiya,Sports,14 MB,3.8,16,5T+,3+
244,Cricnet- Cricket Live Line,Cricket Liveline,Sports,4.2 MB,4.7,1T,1L+,3+
245,AllForSport by Decathlon,Decathlon IN,Sports,10 MB,4.3,2T,10T+,3+
246,Dream King11™ Dream Prediction,TR Appz Dev,Sports,6.3 MB,3.9,84,10T+,3+
247,catch | zombies,Zlatan Mischevich,Sports,8.0 MB,,,10T+,3+
248,BoostFit,Time Network Ltd,Sports,7.6 MB,2.9,9,500+,3+
249,NDTV क्रिकेट हिन्दी,NDTV Official App,Sports,8.9 MB,4.2,207,1L+,3+
250,Live Cricket TV Score,VVIP HUB,Sports,12 MB,4.4,11,5T+,3+
251,Fantasy King for Dream11 - Dream11 Prediction Tips,"Xaapes - Utility, Games, Trivia",Sports,7.9 MB,3.9,4T,5L+,3+
252,"My Perfect 11-Fantasy Cricket Team, IPL & GL Teams",Featured Cool Apps,Sports,5.2 MB,4,18,5T+,3+
253,Premier League - Official App,The Football Association Premier League Ltd,Sports,25 MB,4.2,2L,1Cr+,3+
254,PP11 - Fantasy Team for Dream11,Kavit Industries Ltd,Sports,6.9 MB,4.1,2T,1L+,3+
255,Cricstar - Cricket Live Line- Live Cricket Score,Cricket Liveline,Sports,4.2 MB,4.7,1T,1L+,12+
256,F11Sports - Daily Fantasy Tips,Khatkar,Sports,5.8 MB,3.9,18T,10L+,3+
257,Football Tournament Maker,eniblo,Sports,28 MB,4.4,2T,1L+,3+
258,PSL Cricket Prediction,Big Bash Cricket Tips,Sports,5.9 MB,5,5,100+,3+
259,Aviator games - aviator,Pliter Riverskol,Sports,8.5 MB,,,5T+,3+
260,"Pro Kabaddi 2019 Live Match, Schedule, Point Table",Himanshu Gurjar,Sports,9.4 MB,3.9,74,50T+,3+
261,KOODO - Sports Networking App,KOODO INDIA PVT. LTD.,Sports,25 MB,4.9,616,5T+,12+
262,Paise Kaise Kamaye Game,HR Games Dev Group,Sports,9.6 MB,4.5,16,5T+,3+
263,Paisa Kamane Wala App,BC Tech Solution,Sports,12 MB,3.8,22,1T+,3+
264,Australian Open Tennis 2022,Tennis Australia,Sports,26 MB,4.8,7T,1L+,3+
265,Kabaddi 2021 Time Table,Sunrise Janes,Sports,5.8 MB,3.5,13,5T+,3+
266,Reebok Sports Club,ProviSport,Sports,8.2 MB,3.3,24,10T+,3+
267,IPL Match & T20 WC Team Prediction,Vision Earning,Sports,12 MB,4.1,25,5T+,3+
268,eSports tournament manager - Free - Tournify.in,avitechlab,Sports,0.98 MB,4.4,246,50T+,3+
269,Live T Sports - Live Cricket,Sports Yallap,Sports,7.2 MB,,,5T+,3+
270,Fantasy Cricket Team Predictions & Tips,Fantasy Sports Team Predictions,Sports,8.0 MB,4.6,1T,1L+,3+
271,PSL Expert Tips 2022,Technique1512,Sports,6.6 MB,4.2,72,50T+,3+
272,Turf Town,Turf Town Sporting Pursuits Pvt. Ltd,Sports,47 MB,4.4,119,10T+,3+
273,BPL 2022 Cricket Match Live TV,AH Company LTD,Sports,7.3 MB,,,1T+,3+
274,Crazy Car Stunt Light Car Transform GT Racing Game,Game Unified,Sports,84 MB,4.2,1T,1L+,7+
275,Live Cricket Score for T20 World Cup 2021,Superlative Inc.,Sports,7.0 MB,4,4T,10L+,3+
276,Formula E App,"Formula E Operations, LTD",Sports,20 MB,3.3,1T,1L+,3+
277,PTSPORTS Live Cricket Match,imran develops,Sports,9.6 MB,,,1T+,3+
