Rank,Name,Developer,Category,Size,Star Rating,Reviews,Downloads,Rated for
193,"TJS - Decor, Lifestyle & Gifts",The June Shop,Shopping,8.9 MB,4,77,50T+,3+
194,All in One Shopping App 2022,All in One App Tech India,Shopping,11 MB,3.8,747,5L+,3+
195,noon shopping,Noon E commerce,Shopping,65 MB,4.1,3L,1Cr+,3+
196,VistaPrint India,Cimpress India Private Limited,Shopping,24 MB,3.6,362,1L+,3+
197,SNITCH Online Shopping,4M Clothing LLP,Shopping,13 MB,4.4,1T,1L+,3+
198,Louis Philippe Shopping App- Premium Men’s Fashion,ADITYA BIRLA FASHION AND RETAIL LIMITED,Shopping,22 MB,4.6,4T,1L+,3+
199,Shoes Online Shopping for Men,Divyam Infotech Private Limited,Shopping,1.4 MB,4,3T,10L+,3+
200,Online Vegetables & Fruits Delivery App - VegEase,VegEase,Shopping,25 MB,4.4,1T,50T+,3+
201,MY VS -  Vijaysales,Vijay Sales,Shopping,13 MB,3.7,2T,5L+,3+
202,Van Heusen Online Shopping App - Fashion & Apparel,ADITYA BIRLA FASHION AND RETAIL LIMITED,Shopping,21 MB,4.5,4T,1L+,3+
203,All in One Recharge - Mobile Recharge | Bill Pay,All in One Shopping Apps,Shopping,4.4 MB,4,2T,5L+,3+
204,Jinglebid- Online Shopping App,Jinglebid,Shopping,21 MB,3.9,862,1L+,3+
205,Mobile Recharge App - Online Phone Recharge,Amazing Apps Private Limited,Shopping,4.9 MB,4.1,230,1L+,3+
206,Malabar Gold & Diamonds,Malabar Gold & Diamonds,Shopping,13 MB,3.8,1T,1L+,3+
207,Voylla : Fashion Jewellery Shopping App,Voylla Fashions,Shopping,9.0 MB,3.3,8T,10L+,3+
208,Salwar Suit Online Shopping Flipkart Amazon,Amazing Apps Private Limited,Shopping,5.7 MB,3.4,264,1L+,3+
209,Patanjali Order Me : Vocal For Local,Fit India Organic Pvt. Ltd.,Shopping,10 MB,3.5,21T,10L+,3+
210,Etsy: Buy & Sell Unique Items,"Etsy, Inc",Shopping,15 MB,4.5,6L,1Cr+,12+
211,Highrich Online Shoppe,Highrich Online Shoppe Pvt. Ltd.,Shopping,9.0 MB,4.5,1T,1L+,3+
212,Phoenix Nhance,Phoenix Mills Ltd.,Shopping,83 MB,2.8,517,1L+,3+
213,AppsFree,ts-apps,Shopping,7.2 MB,4,28T,10L+,3+
214,LBB - Discover & Shop,Iluminar Media Pvt. Ltd.,Shopping,14 MB,4.4,12T,10L+,3+
215,All Shopping Apps: All in One Online Shopping App,Easy Apps: All in One Apps,Shopping,7.6 MB,4.2,4T,10L+,3+
216,LuLu Online India,LuLu International Shopping Malls Pvt Ltd,Shopping,7.2 MB,4,1T,1L+,3+
217,"Wholesaledock - Resell,Earn Money Online,Wholesale",Wholesaledock LLP,Shopping,25 MB,4.3,176,10T+,3+
218,pickily - Grocery Delivery,KWICKBOX TECHNOLOGY PRIVATE LIMITED,Shopping,15 MB,4.3,27T,10L+,3+
219,BlueStone Jewellery Online,Bluestone Jewellery and Lifestyle Pvt Ltd,Shopping,8.6 MB,4.5,7T,5L+,3+
220,SkinKraft,SkinKraft,Shopping,29 MB,3,288,1L+,3+
221,NexMoney App Wallet: Innovative Ways Of Earning...,NexGeN INVENTIVE INFORMATION TECHNOLOGY PVT LTD,Shopping,13 MB,4,40T,10L+,3+
222,Coinbazzar - Buy Numismatic Old Coin Note Medals,Coinbazzar Pvt Ltd.,Shopping,35 MB,4.8,3T,5L+,3+
223,Price Comparison - Smartprix,Smartprix.com,Shopping,3.1 MB,4.1,27T,10L+,3+
224,Dreampot,Dreampot Ecom Private Limited,Shopping,11 MB,4.4,4T,50T+,3+
225,Mistri Chacha - Customer App,MISTRI CHACHA,Shopping,12 MB,4.5,404,1L+,3+
226,Gourmet Garden,Gourmet Garden,Shopping,2.4 MB,4.5,121,10T+,3+
227,HR Sales - Imitation Jewellery Reselling App,HR Sales,Shopping,7.9 MB,4.1,345,50T+,3+
228,Everstylish,Everstylish Lifestyle Pvt. Ltd.,Shopping,3.0 MB,4.3,2T,5L+,3+
229,DPrint- Customize Mobile Cover,DPrint - Gift & Customized Cover Online Shopping,Shopping,4.4 MB,4.6,29T,5L+,3+
230,Kalyan Jewellers - Jewellery Shopping App,Kalyan Jewellers,Shopping,10 MB,2.1,1T,5L+,3+
231,"Custom Mobile Covers, Mugs, Canvas Frames, & More.",printshoppy,Shopping,1.1 MB,4.2,3T,1L+,3+
232,Nurserylive,Experttag E Commerce Pvt Ltd,Shopping,11 MB,3.8,2T,1L+,3+
233,Clearnsale,Outhands BPM,Shopping,12 MB,3.9,29,1T+,3+
234,Pets Buying & Selling Online,ApDroid,Shopping,14 MB,4.3,793,1L+,3+
235,IAMO Bazaar,IAMO SOLUTIONS PVT LTD,Shopping,23 MB,4.1,7T,10L+,3+
236,Lehenga Choli Online Shopping,Divyam Infotech Private Limited,Shopping,1.5 MB,3.8,2T,10L+,3+
237,Roobai-Online Shopping Offers & Deals,Roobai.com,Shopping,5.9 MB,4,1T,1L+,3+
238,vlebazaar,vlebazaar,Shopping,14 MB,3.6,4T,1L+,3+
239,Media Rewards: Paid Surveys,Beatgrid Media,Shopping,19 MB,4.2,22T,1L+,3+
240,AliExpress India Shopping,Vector Developers,Shopping,11 MB,2.4,12,10T+,3+
241,Instamart,Instamartgoa,Shopping,6.9 MB,2.9,111,50T+,3+
242,Metro Digital Card,METRO Cash & Carry India Pvt. Ltd.,Shopping,30 MB,4.1,5T,10L+,3+
243,Lazada - Online Shopping APP,Lazada Mobile,Shopping,44 MB,4.6,1Cr,10Cr+,3+
244,Sell old coins online,Hobbyclues,Shopping,4.2 MB,3.5,1T,1L+,12+
245,"FlowerAura: Flowers, Cakes & Gifts Delivery",FA Gifts Pvt LTD,Shopping,13 MB,4.3,6T,1L+,3+
246,Phygicart,Phygicart,Shopping,25 MB,4.3,4T,1L+,3+
247,"Buy Gift Vouchers, Recharge using All Wallets",Cheeni Labs,Shopping,8.6 MB,3.3,12T,5L+,3+
248,bbinstant,Bigbasket.com,Shopping,14 MB,4.2,5T,5L+,3+
249,myG Online,myG-MY GEN DIGITAL HUB,Shopping,19 MB,3.6,761,1L+,3+
250,Erice - Local rice bag delivery,E Rice India,Shopping,14 MB,4.3,410,10T+,3+
251,MobiXpress,MobiXpress,Shopping,4.3 MB,4.2,627,50T+,3+
252,CashBrag,cashbrag,Shopping,15 MB,4,163,50T+,3+
253,Men Watches Online Shopping,Divyam Infotech Private Limited,Shopping,1.5 MB,4,1T,5L+,3+
254,vivo Upgrade,Cashify.in,Shopping,5.9 MB,4,3T,5L+,3+
255,1 Rupee Shopping App || 1 Rupee Store,GRS Solutions,Shopping,4.6 MB,3,175,50T+,3+
256,Mobile Shop,Mobile Shop Usa,Shopping,3.7 MB,3.2,461,1L+,3+
257,Renatus Wellness Pvt Ltd,Renatus Wellness Private Limited,Shopping,13 MB,4.9,95,5T+,3+
258,"Money Transfer, BHIM UPI",UltraCash,Shopping,11 MB,4.1,16T,10L+,3+
